gene_id,experiment_id,log2fc,padj
CCNA_03913,quintero_wt-highK_vs_wt-lowK,0.881175560601471,1.41577244565808e-4
CCNA_00063,quintero_wt-highK_vs_wt-lowK,0.619866105915928,1.48838292473872e-4
CCNA_00064,quintero_wt-highK_vs_wt-lowK,-1.4625675701891,9.84311451267083e-9
CCNA_03914,quintero_wt-highK_vs_wt-lowK,0.361996648203354,0.450147833348646
CCNA_00065,quintero_wt-highK_vs_wt-lowK,0.111404180892464,0.526989677341951
CCNA_00066,quintero_wt-highK_vs_wt-lowK,0.749945444725391,1.03993828783243e-5
CCNA_00067,quintero_wt-highK_vs_wt-lowK,0.419518060514083,0.0684020618727525
CCNA_00068,quintero_wt-highK_vs_wt-lowK,0.525511181039695,0.0022326270758553
CCNA_00069,quintero_wt-highK_vs_wt-lowK,0.541395830705986,0.00577809462457852
CCNA_00070,quintero_wt-highK_vs_wt-lowK,0.374969004343657,0.0683744809315087
CCNA_00071,quintero_wt-highK_vs_wt-lowK,0.475276762502558,0.0545665766405453
CCNA_00072,quintero_wt-highK_vs_wt-lowK,-0.646754439748268,8.9446745931402e-5
CCNA_00073,quintero_wt-highK_vs_wt-lowK,-0.240116285734684,0.14177982084378
CCNA_R0001,quintero_wt-highK_vs_wt-lowK,1.07838259119349,5.18045394782479e-10
CCNA_00074,quintero_wt-highK_vs_wt-lowK,-0.0867733191082126,0.655796916766917
CCNA_00075,quintero_wt-highK_vs_wt-lowK,-0.490447411698122,0.00112944514157372
CCNA_00076,quintero_wt-highK_vs_wt-lowK,-1.01743967858654,2.3773948019308e-9
CCNA_00077,quintero_wt-highK_vs_wt-lowK,-0.611211719866545,1.48270165892649e-4
CCNA_00078,quintero_wt-highK_vs_wt-lowK,-0.636625279322059,2.6706497062557e-4
CCNA_00079,quintero_wt-highK_vs_wt-lowK,-1.03335164380395,1.24781434913478e-7
CCNA_00080,quintero_wt-highK_vs_wt-lowK,-0.370992453264843,0.0566378156503701
CCNA_00081,quintero_wt-highK_vs_wt-lowK,-0.421378859114744,0.0280113710898432
CCNA_00082,quintero_wt-highK_vs_wt-lowK,0.845767785267636,3.24223900514433e-6
CCNA_00083,quintero_wt-highK_vs_wt-lowK,0.461016170885746,0.00529001066867823
CCNA_00084,quintero_wt-highK_vs_wt-lowK,1.6056391717691,1.61090786674933e-15
CCNA_00085,quintero_wt-highK_vs_wt-lowK,1.13772566294363,6.22881086262849e-10
CCNA_00086,quintero_wt-highK_vs_wt-lowK,-0.287708314223334,0.0614554260635833
CCNA_R0002,quintero_wt-highK_vs_wt-lowK,-0.0254426082908485,0.949560156736388
CCNA_00087,quintero_wt-highK_vs_wt-lowK,-0.429311151863827,0.0175541858731107
CCNA_00088,quintero_wt-highK_vs_wt-lowK,-0.457912871044144,0.00272228594479551
CCNA_00089,quintero_wt-highK_vs_wt-lowK,0.0469446270606113,0.805997956607698
CCNA_00090,quintero_wt-highK_vs_wt-lowK,0.269303817949868,0.180612307641564
CCNA_00091,quintero_wt-highK_vs_wt-lowK,-0.0142024003389616,0.952300751024265
CCNA_00092,quintero_wt-highK_vs_wt-lowK,-0.839545019307823,4.50489190919112e-7
CCNA_00093,quintero_wt-highK_vs_wt-lowK,0.317053846143504,0.0796622141456878
CCNA_00094,quintero_wt-highK_vs_wt-lowK,0.12862741765247,0.480366402475359
CCNA_00095,quintero_wt-highK_vs_wt-lowK,-0.821674323113071,7.8580732474077e-6
CCNA_00096,quintero_wt-highK_vs_wt-lowK,0.374706018393572,0.0588085344279725
CCNA_00097,quintero_wt-highK_vs_wt-lowK,0.542207993383291,0.0167405886326207
CCNA_00098,quintero_wt-highK_vs_wt-lowK,0.174017308954699,0.485685000257896
CCNA_00099,quintero_wt-highK_vs_wt-lowK,-0.0342691969435836,0.859831869589069
CCNA_00100,quintero_wt-highK_vs_wt-lowK,0.262491578357237,0.130151160888634
CCNA_00101,quintero_wt-highK_vs_wt-lowK,0.671117551512257,5.67986701180693e-5
CCNA_00102,quintero_wt-highK_vs_wt-lowK,0.23579101629048,0.278992971180328
CCNA_00103,quintero_wt-highK_vs_wt-lowK,-0.453705344766399,0.00389031227649387
CCNA_00104,quintero_wt-highK_vs_wt-lowK,0.636764890606107,4.92201508946997e-4
CCNA_00105,quintero_wt-highK_vs_wt-lowK,-0.176356030454583,0.334694058153942
CCNA_00106,quintero_wt-highK_vs_wt-lowK,0.437662141490655,0.00930064882692057
CCNA_00107,quintero_wt-highK_vs_wt-lowK,0.0173925235361256,0.946274810834412
CCNA_00108,quintero_wt-highK_vs_wt-lowK,0.121516439217037,0.524752032328833
CCNA_00109,quintero_wt-highK_vs_wt-lowK,0.275391773060705,0.126999782603405
CCNA_00110,quintero_wt-highK_vs_wt-lowK,0.566358516616967,9.98057710795582e-4
CCNA_00111,quintero_wt-highK_vs_wt-lowK,-0.753075074814743,1.59281349550185e-6
CCNA_00112,quintero_wt-highK_vs_wt-lowK,-0.505342226362868,0.00256551053466444
CCNA_00113,quintero_wt-highK_vs_wt-lowK,-0.074333727820308,0.817070038171401
CCNA_00114,quintero_wt-highK_vs_wt-lowK,0.00213129413167717,0.99506721614877
CCNA_00115,quintero_wt-highK_vs_wt-lowK,0.394474936346341,0.0270036954940221
CCNA_R0099,quintero_wt-highK_vs_wt-lowK,0,0
CCNA_00116,quintero_wt-highK_vs_wt-lowK,0.273132767957043,0.0892274572530012
CCNA_00117,quintero_wt-highK_vs_wt-lowK,0.392447926268181,0.0249718521391417
CCNA_00118,quintero_wt-highK_vs_wt-lowK,-0.100730325449653,0.580179292844772
CCNA_00119,quintero_wt-highK_vs_wt-lowK,-0.593289693029679,0.00341900855942934
CCNA_00120,quintero_wt-highK_vs_wt-lowK,-0.404022201060902,0.088831059060054507
CCNA_00121,quintero_wt-highK_vs_wt-lowK,-0.44896978940788,0.0320725602316535
CCNA_00122,quintero_wt-highK_vs_wt-lowK,-0.720938223737886,9.10985376138112e-4
CCNA_00123,quintero_wt-highK_vs_wt-lowK,-0.371332785746721,0.0197384399320813
CCNA_00124,quintero_wt-highK_vs_wt-lowK,-1.41141062694018,5.13825993811906e-11
CCNA_00125,quintero_wt-highK_vs_wt-lowK,0.200213046836766,0.28773905379942
CCNA_00126,quintero_wt-highK_vs_wt-lowK,-0.676287913986305,1.89154017359242e-5
CCNA_00127,quintero_wt-highK_vs_wt-lowK,-2.0122128542123,2.6778272057022e-10
CCNA_00128,quintero_wt-highK_vs_wt-lowK,0.976541012002644,1.27196574282515e-6
CCNA_00129,quintero_wt-highK_vs_wt-lowK,0.754019878197381,3.28264815196166e-5
CCNA_00130,quintero_wt-highK_vs_wt-lowK,0.662888678595001,1.41577244565808e-4
CCNA_00131,quintero_wt-highK_vs_wt-lowK,0.163818328313801,0.376633048572133
CCNA_00132,quintero_wt-highK_vs_wt-lowK,-0.266984169162052,0.107546336249523
CCNA_00133,quintero_wt-highK_vs_wt-lowK,0.132549992865412,0.450665263966084
CCNA_00134,quintero_wt-highK_vs_wt-lowK,-0.259966586841705,0.122163380267919
CCNA_00135,quintero_wt-highK_vs_wt-lowK,-0.501379512501787,0.00202950808281689
CCNA_00136,quintero_wt-highK_vs_wt-lowK,0.0833623279380586,0.676477058745129
CCNA_00137,quintero_wt-highK_vs_wt-lowK,0.115427006397559,0.515999271520289
CCNA_00138,quintero_wt-highK_vs_wt-lowK,1.15677614643143,1.60855355918506e-5
CCNA_00139,quintero_wt-highK_vs_wt-lowK,-0.35075835019993,0.0397813677333301
CCNA_00140,quintero_wt-highK_vs_wt-lowK,0.238106674506876,0.168356699047612
CCNA_00141,quintero_wt-highK_vs_wt-lowK,-0.287171929179175,0.148146947429082
CCNA_00142,quintero_wt-highK_vs_wt-lowK,-0.516017151513033,0.0141209680548776
CCNA_00143,quintero_wt-highK_vs_wt-lowK,-0.237733848949236,0.237687001527042
CCNA_00144,quintero_wt-highK_vs_wt-lowK,0.0587799281984727,0.762792804521062
CCNA_00145,quintero_wt-highK_vs_wt-lowK,-0.091043593681334,0.655914465914762
CCNA_00146,quintero_wt-highK_vs_wt-lowK,0.373198589965062,0.0290164237851591
CCNA_00147,quintero_wt-highK_vs_wt-lowK,-0.24881131272454,0.430665112740164
CCNA_00148,quintero_wt-highK_vs_wt-lowK,-0.0602565178371442,0.774270465002249
CCNA_00149,quintero_wt-highK_vs_wt-lowK,-8.64326236862238e-4,0.997485200305051
