gene_id,experiment_id,log2fc,padj
CCNA_00056,quintero_wt-lowK_vs_ΔkdpE-lowK,0.326531379541718,0.442756938665154
CCNA_00057,quintero_wt-lowK_vs_ΔkdpE-lowK,0.091883574099914,0.901387296495574
CCNA_00058,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0923631267715736,0.893651922940822
CCNA_00059,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.26578802583179,0.370436809925315
CCNA_00060,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.247524518207765,0.507474293301921
CCNA_00061,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.280693305365357,0.523067112217405
CCNA_00062,quintero_wt-lowK_vs_ΔkdpE-lowK,0.231434353752423,0.538329268350282
CCNA_03913,quintero_wt-lowK_vs_ΔkdpE-lowK,0.474966780994796,0.0884828153828055
CCNA_00063,quintero_wt-lowK_vs_ΔkdpE-lowK,0.166855416056094,0.732000375139041
CCNA_00064,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.718067175244998,0.00977118821797236
CCNA_03914,quintero_wt-lowK_vs_ΔkdpE-lowK,0.210478026579597,NA
CCNA_00065,quintero_wt-lowK_vs_ΔkdpE-lowK,0.110850842434968,0.853726813505866
CCNA_00066,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.14007459463986,0.802618678082021
CCNA_00067,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.181418729500741,0.768118964542274
CCNA_00068,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0595149200513757,0.941875239365158
CCNA_00069,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0433842740058338,0.966276259130522
CCNA_00070,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.00384358784518701,0.996622663272792
CCNA_00071,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.062290849920763,0.958927573897016
CCNA_00072,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.119215135600905,0.878462045891448
CCNA_00073,quintero_wt-lowK_vs_ΔkdpE-lowK,0.100983959140299,0.878462045891448
CCNA_R0001,quintero_wt-lowK_vs_ΔkdpE-lowK,0.4948697481966,0.04927515834893
